"site","trap","longitude","latitude","date_setup","date_collect","Onthophagus taurus","Euoniticellus fulvus","Euoniticellus pallipes","Onitis aygulus","Onthophagus binodis","Onitis alexis","Euoniticellus intermedius","Bubas bison","Onthophagus ferox","Onthophagus vermiculatus","Copris hispanus"
"Bullsbrook","Trap 1",116.008171,-31.711725,2012-07-24,2012-07-25 09:37:34,0,0,0,0,0,0,18,0,0,0,0
"Badgingarra","Trap 2",115.591987,-30.277745,2012-07-24,2012-07-25 12:06:57,0,0,0,0,0,0,0,3,0,0,0
"Badgingarra","Trap 1",115.591779,-30.277467,2012-07-24,2012-07-25 12:06:30,0,0,0,0,0,0,1,6,0,0,0
"Bullsbrook","Trap 2",116.007969,-31.711522,2012-07-24,2012-07-25 09:38:27,0,0,0,0,0,0,17,0,0,0,0
"Quairading","Trap 1",117.666051,-32.188179,2012-08-01,2012-08-02 13:02:24,0,0,0,0,0,0,0,10,0,0,0
"Quairading","Trap 2",117.665843,-32.188177,2012-08-01,2012-08-02 13:02:57,0,0,0,0,0,0,0,13,0,0,0
"Clackline","Trap 2",116.574014,-31.729294,2012-08-01,2012-08-02 14:35:36,0,0,0,0,0,0,0,17,0,0,0
"Clackline","Trap 1",116.574213,-31.729248,2012-08-01,2012-08-02 14:35:07,0,0,0,0,0,0,0,20,0,0,0
"Jingalup","Trap 1",116.972397,-34.004007,2012-08-07,2012-08-08 10:53:46,0,0,0,0,0,0,0,1,0,0,0
"Kojonup","Trap 2",117.182336,-33.908102,2012-08-07,2012-08-08 11:46:49,0,0,0,0,0,0,0,7,0,0,0
"Duranillin","Trap 1",116.827276,-33.479275,2012-08-07,2012-08-08 12:54:15,0,0,0,0,0,0,0,7,0,0,0
"Narrikine","Trap 2",116.751078,-32.968848,2012-08-07,2012-08-08 14:20:22,0,0,0,0,0,0,0,1,0,0,0
"Kojonup","Trap 1",117.182348,-33.908095,2012-08-07,2012-08-08 11:46:21,0,0,0,0,0,0,0,11,0,0,0
"Duranillin","Trap 2",116.827388,-33.479177,2012-08-07,2012-08-08 12:53:45,0,0,0,0,0,0,0,5,0,0,0
"Narrikine","Trap 1",116.751078,-32.968845,2012-08-07,2012-08-08 14:19:56,1,0,0,0,0,0,0,1,0,0,0
"Manjimup","Trap 2",116.087985,-34.322194,2012-08-08,2012-08-09 00:00:00,0,0,0,0,3,0,0,0,0,0,0
"Badgingarra","Trap 2",115.591987,-30.277745,2012-08-23,2012-08-24 11:36:55,0,0,0,0,0,0,1,3,0,0,0
"Bullsbrook","Trap 1",116.008171,-31.711725,2012-08-23,2012-08-24 09:05:25,1,0,0,0,0,0,1,0,0,0,0
"Badgingarra","Trap 1",115.591779,-30.277467,2012-08-23,2012-08-24 11:37:28,0,0,0,0,0,0,2,6,0,0,0
"Bullsbrook","Trap 2",116.007969,-31.711522,2012-08-23,2012-08-24 09:06:03,1,0,0,0,0,0,1,1,0,0,0
"Quairading","Trap 1",117.666051,-32.188179,2012-08-29,2012-08-30 11:39:57,0,0,0,0,0,0,0,2,0,0,0
"Clackline","Trap 1",116.574213,-31.729248,2012-08-29,2012-08-30 00:00:00,28,0,3,0,0,0,0,18,0,0,0
"Clackline","Trap 2",116.574014,-31.729294,2012-08-29,2012-08-30 00:00:00,20,0,3,0,0,0,0,14,0,0,0
"Duranillin","Trap 1",116.827276,-33.479275,2012-09-06,2012-09-07 13:32:30,0,0,0,0,0,0,0,1,0,0,0
"Narrikup","Trap 1",117.728324,-34.725057,2012-09-05,2012-09-06 16:17:11,0,0,0,0,0,0,0,0,2,0,0
"Narrikup","Trap 2",117.728324,-34.725057,2012-09-05,2012-09-06 16:17:45,0,0,0,0,0,0,0,2,1,0,0
"Jingalup","Trap 2",116.97241,-34.003891,2012-09-06,2012-09-07 11:41:38,2,0,0,0,0,0,0,1,0,0,0
"Kojonup","Trap 1",117.182348,-33.908095,2012-09-06,2012-09-07 12:14:27,0,0,0,0,0,0,0,3,0,0,0
"Duranillin","Trap 2",116.827388,-33.479177,2012-09-06,2012-09-07 13:32:53,0,0,0,0,0,0,0,1,0,0,0
"Narrikine","Trap 2",116.751078,-32.968848,2012-09-06,2012-09-07 14:40:14,7,0,0,0,0,0,0,2,0,0,0
"Kojonup","Trap 2",117.182336,-33.908102,2012-09-06,2012-09-07 12:13:37,0,0,0,0,0,0,0,5,0,0,0
"Jingalup","Trap 1",116.972397,-34.004007,2012-09-06,2012-09-07 11:38:31,4,0,0,0,0,0,0,0,0,0,0
"Narrikine","Trap 1",116.751078,-32.968845,2012-09-06,2012-09-07 14:39:45,5,0,0,0,0,0,0,0,0,0,0
"Clackline","Trap 1",116.574213,-31.729248,2012-09-27,2012-09-28 13:47:34,8,0,2,0,0,0,0,2,0,0,0
"Clackline","Trap 2",116.574014,-31.729294,2012-09-27,2012-09-28 13:48:15,10,0,1,0,0,0,0,0,0,0,0
"Badgingarra","Trap 2",115.591987,-30.277745,2012-09-25,2012-09-26 12:25:38,0,0,0,0,0,0,0,0,1,0,0
"Badgingarra","Trap 1",115.591779,-30.277467,2012-09-25,2012-09-26 12:25:04,0,0,0,0,0,0,0,2,1,0,0
"Narrikup","Trap 2",117.728324,-34.725057,2012-10-02,2012-10-03 10:00:57,314,5,0,0,24,0,0,0,0,2,0
"Jingalup","Trap 2",116.97241,-34.003891,2012-10-02,2012-10-03 11:44:20,3,0,0,0,0,0,0,0,0,0,0
"Narrikup","Trap 1",117.728324,-34.725057,2012-10-02,2012-10-03 10:00:36,185,4,0,0,10,0,0,0,1,2,0
"Kojonup","Trap 2",117.182336,-33.908102,2012-10-02,2012-10-03 12:14:30,1,0,0,0,0,0,0,1,0,0,0
"Duranillin","Trap 2",116.827388,-33.479177,2012-10-02,2012-10-03 13:32:26,0,0,0,0,0,0,0,1,0,0,0
"Narrikine","Trap 2",116.751078,-32.968848,2012-10-02,2012-10-03 14:39:58,12,0,0,0,0,0,0,1,0,0,0
"Kojonup","Trap 1",117.182348,-33.908095,2012-10-02,2012-10-03 12:13:37,0,0,0,0,0,0,0,2,0,0,0
"Narrikine","Trap 1",116.751078,-32.968845,2012-10-02,2012-10-03 14:39:30,3,0,0,0,0,0,0,0,0,0,0
"Jingalup","Trap 1",116.972397,-34.004007,2012-10-02,2012-10-03 11:43:21,2,0,0,0,0,0,0,0,0,0,0
"Manjimup","Trap 1",116.087979,-34.322199,2012-09-13,2012-09-14 00:00:00,31,3,0,0,3,0,0,0,0,1,0
"Manjimup","Trap 2",116.087985,-34.322194,2012-09-13,2012-09-14 00:00:00,101,21,0,0,9,0,0,1,1,5,0
"Bullsbrook","Trap 2",116.007969,-31.711522,2012-10-08,2012-10-09 09:43:36,1,0,0,0,1,0,2,0,0,0,0
"Badgingarra","Trap 2",115.591987,-30.277745,2012-10-08,2012-10-09 11:56:22,12,0,0,0,0,0,0,1,0,0,0
"Bullsbrook","Trap 1",116.008171,-31.711725,2012-10-08,2012-10-09 09:42:27,2,0,0,0,0,0,0,0,0,0,0
"Badgingarra","Trap 1",115.591779,-30.277467,2012-10-08,2012-10-09 11:55:26,13,0,0,0,0,0,1,3,0,0,0
